ID,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
611,2013-08-24,Sampdoria,Juventus,A,8,4,1.45,7.25,4,1.48,5.5,4,1.55,6,4,1.53,7,4,1.5,7.5,4,1.55
612,2013-08-24,Verona,Milan,H,4.75,3.6,1.75,4.75,3.75,1.7,4.7,3.6,1.7,4.8,3.6,1.75,4.75,3.6,1.75,4.8,3.6,1.8
613,2013-08-25,Cagliari,Atalanta,H,2.5,3,3,2.45,3.1,3,2.3,3.2,3,2.37,3.2,3,2.5,3,3,2.55,3.2,3.1
614,2013-08-25,Inter,Genoa,H,1.62,3.75,5.5,1.6,3.75,5.75,1.65,3.7,4.9,1.61,3.75,5.5,1.7,3.75,4.8,1.67,3.9,5.75
615,2013-08-25,Lazio,Udinese,H,2,3.4,3.75,1.95,3.4,3.9,1.9,3.45,3.8,1.85,3.5,4.2,2,3.4,3.75,2,3.4,4.1
616,2013-08-25,Livorno,Roma,A,3.6,3.5,2,3.7,3.4,2,3.6,3.3,2,3.75,3.4,2,3.4,3.6,2.05,3.75,3.6,2.05
617,2013-08-25,Napoli,Bologna,H,1.36,4.75,8.5,1.33,5,9,1.4,4.4,7.3,1.4,4.5,7.5,1.4,4.5,8,1.4,4.8,9
618,2013-08-25,Parma,Chievo,D,1.85,3.5,4.2,1.83,3.4,4.5,1.9,3.45,3.8,1.9,3.4,4,1.85,3.4,4.4,1.9,3.5,4.6
619,2013-08-25,Torino,Sassuolo,H,2,3.3,3.8,1.95,3.3,4,2,3.3,3.6,1.9,3.4,4,2.05,3.25,3.8,2.05,3.4,4
620,2013-08-26,Fiorentina,Catania,H,1.44,4.2,7.5,1.45,4.2,7.25,1.45,4,7,1.53,4,6,1.5,4.2,6.5,1.5,4.5,7
621,2013-08-31,Chievo,Napoli,A,4.75,3.5,1.75,4.75,3.5,1.75,4.5,3.5,1.75,4.8,3.5,1.76,4.5,3.4,1.83,5,3.6,1.83
622,2013-08-31,Juventus,Lazio,H,1.36,4.5,9,1.35,5,8.25,1.4,4.4,7.3,1.4,4.5,7.5,1.36,4.75,8.5,1.36,4.8,10.5
623,2013-09-01,Atalanta,Torino,H,2.1,3.2,3.6,2.1,3.25,3.6,2,3.3,3.6,2.15,3.2,3.5,2.15,3.2,3.6,2.15,3.25,3.8
624,2013-09-01,Bologna,Sampdoria,D,2.2,3.25,3.3,2.25,3.2,3.25,2.2,3.2,3.2,2.25,3.2,3.2,2.25,3.2,3.3,2.3,3.25,3.5
625,2013-09-01,Catania,Inter,A,2.75,3.2,2.6,2.95,3.25,2.4,3,3.2,2.3,2.87,3.3,2.4,2.9,3.25,2.45,2.8,3.3,2.7
626,2013-09-01,Genoa,Fiorentina,A,4,3.3,1.95,4,3.4,1.91,3.3,3.3,2.1,3.5,3.4,2,4,3.5,1.91,4,3.5,1.95
627,2013-09-01,Milan,Cagliari,H,1.4,4.5,7.5,1.36,4.6,8.75,1.35,4.8,7.6,1.4,4.5,8,1.4,4.5,8,1.4,4.8,9.5
628,2013-09-01,Roma,Verona,H,1.4,4.5,8,1.42,4.33,7.75,1.45,4,7,1.44,4.33,7,1.44,4.4,7,1.45,4.6,7.5
629,2013-09-01,Sassuolo,Livorno,A,1.95,3.2,4.2,1.95,3.4,3.9,2,3.3,3.6,2,3.3,3.75,2,3.25,4,2.05,3.3,4.2
630,2013-09-01,Udinese,Parma,H,2.1,3.25,3.6,1.95,3.5,3.8,1.9,3.45,3.8,2,3.4,3.75,2,3.4,3.8,2.15,3.4,3.75
631,2013-09-14,Inter,Juventus,D,3.5,3.3,2.1,3.75,3.4,2.1,3.3,3.3,2.1,3.4,3.4,2.1,3.3,3.4,2.15,3.6,3.4,2.15
632,2013-09-14,Napoli,Atalanta,H,1.36,4.75,8.5,1.33,4.75,9.5,1.37,4.6,7.5,1.4,4.5,7.5,1.4,4.5,8,1.36,5,9
633,2013-09-14,Torino,Milan,D,4.75,3.6,1.73,4.75,3.6,1.72,4.5,3.5,1.75,4.5,3.4,1.83,4.4,3.5,1.83,4.75,3.6,1.85
634,2013-09-15,Fiorentina,Cagliari,D,1.44,4.33,7,1.36,4.75,8.25,1.4,4.4,7.3,1.44,4.33,6.5,1.44,4.4,7,1.45,4.75,7.5
635,2013-09-15,Lazio,Chievo,H,1.67,3.75,5,1.65,3.6,5.5,1.65,3.6,5.1,1.66,3.75,5,1.67,3.6,5.5,1.7,3.8,5.75
636,2013-09-15,Livorno,Catania,H,2.5,3.2,2.88,2.5,3.2,2.85,2.4,3.2,2.85,2.4,3.2,2.9,2.5,3.3,2.8,2.6,3.25,3
637,2013-09-15,Sampdoria,Genoa,A,2.4,3.1,3.1,2.4,3.3,3.1,2.4,3.2,2.85,2.25,3.25,3.2,2.4,3.1,3.1,2.5,3.2,3.25
638,2013-09-15,Udinese,Bologna,D,1.8,3.5,4.5,1.72,3.6,4.75,1.75,3.5,4.5,1.83,3.5,4.33,1.83,3.5,4.4,1.85,3.6,4.8
639,2013-09-15,Verona,Sassuolo,H,2.25,3.2,3.25,2.15,3.25,3.4,2.1,3.2,3.4,2.1,3.25,3.5,2.25,3.2,3.3,2.2,3.3,3.7
640,2013-09-16,Parma,Roma,A,3.1,3.3,2.3,3.1,3.4,2.35,2.9,3.3,2.3,2.9,3.4,2.3,2.88,3.3,2.4,3.1,3.4,2.4
641,2013-09-21,Cagliari,Sampdoria,D,2.1,3.2,3.6,2.15,3.2,3.5,2,3.3,3.6,2.1,3.3,3.5,2.15,3.25,3.5,2.15,3.3,3.8
642,2013-09-21,Chievo,Udinese,H,2.75,3.2,2.6,2.65,3.2,2.65,2.6,3.2,2.6,2.7,3.2,2.62,2.75,3.2,2.62,2.75,3.25,2.8
643,2013-09-21,Genoa,Livorno,D,1.75,3.5,4.75,1.75,3.6,4.6,1.75,3.5,4.5,1.85,3.4,4.33,1.83,3.5,4.4,1.83,3.5,4.8
644,2013-09-22,Atalanta,Fiorentina,A,2.8,3.4,2.4,2.9,3.25,2.45,2.85,3.2,2.4,2.75,3.3,2.5,2.88,3.3,2.45,3.1,3.4,2.45
645,2013-09-22,Bologna,Torino,A,2.15,3.2,3.5,2.15,3.25,3.4,2.1,3.15,3.45,2.15,3.25,3.4,2.15,3.25,3.5,2.25,3.25,3.6
646,2013-09-22,Catania,Parma,D,2.05,3.25,3.75,2.05,3.25,3.7,2.1,3.2,3.4,2.15,3.3,3.4,2.15,3.3,3.4,2.2,3.3,3.6
647,2013-09-22,Juventus,Verona,H,1.17,7,15,1.15,7.25,16,1.15,7,15,1.18,7,13,1.15,7.5,17,1.17,8,22
648,2013-09-22,Milan,Napoli,A,2.5,3.4,2.7,2.7,3.25,2.6,2.5,3.3,2.65,2.5,3.3,2.75,2.6,3.3,2.7,2.62,3.4,2.8
649,2013-09-22,Roma,Lazio,H,2.1,3.4,3.4,2.15,3.3,3.4,2.2,3.2,3.2,2.1,3.4,3.4,2.15,3.5,3.25,2.15,3.5,3.6
650,2013-09-22,Sassuolo,Inter,A,4.5,3.75,1.75,4.75,3.6,1.72,4.2,3.5,1.8,4.8,3.6,1.72,4.4,3.6,1.8,4.6,3.75,1.85
651,2013-09-24,Udinese,Genoa,H,1.83,3.4,4.5,1.75,3.5,4.6,1.8,3.5,4.2,1.85,3.4,4.33,1.91,3.3,3.8,1.91,3.5,4.4
652,2013-09-25,Bologna,Milan,D,3.4,3.4,2.1,3.6,3.3,2.05,3.3,3.3,2.1,3.25,3.3,2.2,3.6,3.2,2.15,3.75,3.4,2.15
653,2013-09-25,Chievo,Juventus,A,7.5,4.2,1.44,8,4.35,1.4,7,4,1.45,6.5,4.2,1.5,7,4,1.5,7.5,4.5,1.5
654,2013-09-25,Lazio,Catania,H,1.57,3.75,6,1.6,3.7,5.75,1.65,3.6,5.1,1.6,3.75,6,1.6,3.75,6,1.6,4.1,6.5
655,2013-09-25,Livorno,Cagliari,D,2.75,3.1,2.63,2.5,3.2,2.8,2.4,3.3,2.75,2.4,3.2,2.88,2.62,3.1,2.6,2.8,3.25,2.75
656,2013-09-25,Napoli,Sassuolo,D,1.17,7,15,1.11,8,21,1.15,7,15,1.15,7.5,17,1.17,6.5,17,1.14,9,23
657,2013-09-25,Parma,Atalanta,H,1.91,3.3,4.2,1.82,3.35,4.5,1.95,3.35,3.7,1.91,3.4,4,1.91,3.4,4,1.9,3.4,4.6
658,2013-09-25,Sampdoria,Roma,A,3.6,3.3,2.05,3.7,3.45,1.95,3.6,3.3,2,3.6,3.5,2,3.8,3.2,2.05,3.9,3.5,2.05
